Date,Open,High,Low,Close,Volume
2023-03-08,0.6102,0.67,0.6,0.62,129464
2023-03-09,0.607,0.63,0.59,0.6299,45753
2023-03-10,0.6,0.6229,0.5348,0.5798,46615
2023-03-13,0.5943,0.6,0.541,0.571464,41373
2023-03-14,0.568,0.581,0.568,0.5681,5855
2023-03-15,0.58,0.58,0.55,0.5663,9054
2023-03-16,0.55,0.585,0.5228,0.55,46160
2023-03-17,0.58,0.6958,0.58,0.6733,259420
2023-03-20,0.697,0.849,0.696234,0.809949,274934
2023-03-21,0.82,0.93,0.81,0.9012,209793
2023-03-22,0.94,0.94,0.7345,0.7702,168421
2023-03-23,0.78,0.8699,0.78,0.82535,43685
2023-03-24,0.83,0.88,0.75,0.84,81144
2023-03-27,0.86,0.91,0.82,0.86,77515
2023-03-28,0.91,1.07,0.86,1.07,291141
2023-03-29,1.15,1.15,1.02,1.1,366252
2023-03-30,1.06,1.13,0.8945,1.045,263617
2023-03-31,1.08,1.1,0.974557,1.0916,182017
2023-04-03,1.06,1.09,1.0,1.015,126145
2023-04-04,1.02,1.05,0.6801,0.8001,516792
2023-04-05,0.8228,0.9339,0.766401,0.9339,228786
2023-04-06,0.9205,1.02,0.9106,1.01,97604
2023-04-10,1.01,1.0499,0.946,1.01,72883
2023-04-11,1.04,1.04,0.98,1.02,65131
2023-04-12,1.05,1.0673,1.0,1.02,36614
2023-04-13,1.02,1.08,1.01,1.08,53929
2023-04-14,1.07,1.08,1.01,1.07,107406
2023-04-17,1.1,1.2,1.0676,1.19,484339
2023-04-18,1.28,1.35,1.2,1.29,1218956
2023-04-19,1.32,1.3928,1.16,1.17,782621
2023-04-20,1.23,1.24,1.02,1.1394,525010
2023-04-21,1.05,1.11,1.0,1.04,316513
2023-04-24,1.05,1.1097,0.91,0.98,210644
2023-04-25,0.96,0.965,0.786,0.8741,330792
2023-04-26,0.9438,0.9438,0.8586,0.87015,92265
2023-04-27,0.9069,0.9069,0.75,0.8047,185934
2023-04-28,0.7806,0.8,0.7805,0.7851,85649
2023-05-01,0.76,0.8,0.76,0.79,57515
2023-05-02,0.78,0.809899,0.76,0.7651,64722
2023-05-03,0.76,0.808,0.76,0.7902,39549
2023-05-04,0.78,0.807999,0.77,0.775,30535
2023-05-05,0.78,0.8099,0.78,0.78,43197
2023-05-08,0.79,0.8,0.7601,0.8,32358
2023-05-09,0.8,0.81,0.77,0.785,36125
2023-05-10,0.78,0.81,0.78,0.81,11024
2023-05-11,0.81,0.82,0.7906,0.82,21843
2023-05-12,0.81,0.82,0.78,0.78,26168
2023-05-15,0.79,0.8108,0.79,0.7901,50509
2023-05-16,0.78,0.7909,0.76,0.79,9562
2023-05-17,0.78,0.79,0.7703,0.78,18111
2023-05-18,0.78,0.8399,0.78,0.833,100535
2023-05-19,0.83,0.86,0.81,0.8369,92202
2023-05-22,0.825,0.8662,0.76,0.7603,87015
2023-05-23,0.765,0.78,0.76,0.76,122744
2023-05-24,0.78,0.783359,0.73,0.73,28791
2023-05-25,0.73,0.75,0.7097,0.7479,21445
2023-05-26,0.73,0.75,0.7125,0.7349,54698
2023-05-30,0.71,0.87,0.7,0.8481,143881
2023-05-31,0.72,0.86,0.7147,0.8501,153792
2023-06-01,0.86,0.91,0.859,0.9018,157429
2023-06-02,0.93,1.05,0.8601,1.03,495041
2023-06-05,1.23,1.2699,0.9,0.92,3022696
2023-06-06,0.8653,0.8699,0.75,0.8449,415719
2023-06-07,0.81,0.83,0.76,0.78,181180
2023-06-08,0.77,0.79,0.7,0.755,113305
2023-06-09,0.7626,0.7988,0.7352,0.7426,56378
2023-06-12,0.77,0.798,0.72,0.78,178724
2023-06-13,0.7783,0.78,0.74,0.7551,55376
2023-06-14,0.7551,0.77,0.7406,0.7458,48230
2023-06-15,0.7575,0.79,0.74,0.785,81707
2023-06-16,0.79,0.79,0.65,0.65,515643
2023-06-20,0.6949,0.735,0.6949,0.695,99230
2023-06-21,0.71,0.73,0.6949,0.72,46908
2023-06-22,0.6949,0.73,0.6949,0.7202,35121
2023-06-23,0.72,0.75,0.7092,0.72,58029
2023-06-26,0.7198,0.7199,0.709,0.709,72481
2023-06-27,0.709,0.7199,0.6906,0.698998,40251
2023-06-28,0.69,0.719999,0.69,0.704,28544
2023-06-29,0.71,0.72,0.68,0.68,55371
2023-06-30,0.68,0.7149,0.68,0.6814,43629
2023-07-03,0.68,0.699,0.6745,0.6895,19582
2023-07-05,0.7,0.7,0.6901,0.6903,39516
2023-07-06,0.7,0.7,0.6661,0.6661,37027
2023-07-07,0.67,0.697,0.67,0.6955,26057
2023-07-10,0.67,0.72,0.66,0.69,67018
2023-07-11,0.67,0.7,0.67,0.6901,30361
2023-07-12,0.6818,0.697,0.677,0.6808,34401
2023-07-13,0.7,0.7,0.68,0.681,40194
2023-07-14,0.688,0.7,0.68,0.6811,21485
2023-07-17,0.681,0.6879,0.66,0.66855,42817
2023-07-18,0.66,0.69,0.65,0.6629,72288
2023-07-19,0.65,0.6699,0.65,0.6679,41194
